Total,Ambiguous,Word,POS
67,43/35/24,appareo/es/ere/ui/itum,PossibleVerb.
67,29/59/38,caveo/es/ere/caui/cautum,PossibleVerb.
66,6/106/60,armo/as/are,PossibleVerb.
66,56/16/10,cerno/is/ere/creui/cretum,PossibleVerb.
66,45/30/21,integer/gra/grum,PossibleVerb.
66,45/25/21,clarus,adj.
66,44/55/22,numerus/i,m.
66,20/80/46,intro/as/are,PossibleVerb.
66,0/141/66,inde,adv.
65,65/0/0,crimen/inis,n.
65,65/0/0,addo/is/ere/didi/ditum,PossibleVerb.
65,57/10/8,tracto/as/are,PossibleVerb.
65,29/52/36,amplus,adj.
65,27/93/38,fallo/is/ere/fefelli/falsum (fallitum),PossibleVerb.
65,14/86/51,honestus,adj.
64,64/0/0,templum/i,n.
64,64/0/0,scipio/onis,m.
64,64/0/0,naturalis,e
64,64/0/0,morbus/i,m.
64,64/0/0,intersum/es/esse/fui,PossibleVerb.
64,64/0/0,etsi,conj. sub.
64,64/0/0,donec,conj. sub.
64,54/13/10,equus/i,m.
64,53/24/11,laus/laudis,f.
64,47/26/17,salus/utis,f.
64,47/22/17,committo/is/ere/misi/missum,PossibleVerb.
64,43/31/21,adicio/is/ere/ieci/iectum,PossibleVerb.
64,36/60/28,verto/vorto/is/ere/uerti/uersum,PossibleVerb.
63,63/0/0,offero/fers/ferre/obtuli/oblatum,PossibleVerb.
63,61/5/2,nuntio/a/are,PossibleVerb.
63,54/11/9,crassus,adj.
63,52/15/11,vulnus/vulnus/eris,n.
63,47/41/16,pugna/ae,f.
63,4/99/59,dubius,adj.
63,35/40/28,mando/as/are,PossibleVerb.
63,0/161/63,totum/i,n.
62,62/0/0,statim,adv.
62,62/0/0,partim,adv.
62,62/0/0,impleo/es/ere/eui/etum,PossibleVerb.
62,61/1/1,ignoro/as/are,PossibleVerb.
62,57/6/5,obtineo/es/ere/tinui/tentum,PossibleVerb.
62,51/17/11,augeo/es/ere/auxi/auctum,PossibleVerb.
62,30/64/32,morior/eris/i/mortuus sum,PossibleVerb.
62,11/128/51,latus,adj.
62,10/93/52,paucus,adj.
62,0/196/62,minus,adv.
62,0/140/62,saepes/is,f.
62,0/124/62,socius,adj.
61,61/0/0,sin,conj. sub.
61,61/0/0,repeto/is/ere/iui/ii/titum,PossibleVerb.
61,61/0/0,possessio/onis,f.
61,61/0/0,necessitas/atis,f.
61,57/4/4,profero/fers/ferre/tuli/latum,PossibleVerb.
61,55/9/6,desum/es/esse/defui,PossibleVerb.
61,54/10/7,desidero/as/are,PossibleVerb.
61,5/116/56,mas/maris,m.
61,49/14/12,timeo/es/ere/timui,PossibleVerb.
61,43/25/18,fugio/is/ere/fugi,PossibleVerb.
61,36/38/25,condo/is/ere/didi/ditum,PossibleVerb.
61,2/191/59,castrum/i,n.
61,18/75/43,sanus,adj.
